snapshot_month,total_mrr_usd,arr_usd,active_customers
2025-01-01,8350.02,100200.24,94
2025-02-01,17046.71,204560.52,199
2025-03-01,26277.57,315330.84,303
2025-04-01,35325.75,423909.0,422
2025-05-01,49592.62,595111.44,566
2025-06-01,60049.81,720597.72,689
2025-07-01,66978.01,803736.12,809
2025-08-01,78210.19,938522.28,948
2025-09-01,92887.57,1114650.84,1092
2025-10-01,105310.45,1263725.4,1263
2025-11-01,118637.32,1423647.84,1447
2025-12-01,132151.18,1585814.16,1620
2026-01-01,149060.55,1788726.6,1828
2026-02-01,167413.07,2008956.84,2039
2026-03-01,182148.79,2185785.48,2236
2026-04-01,198923.15,2387077.8,2454
2026-05-01,217156.02,2605872.24,2670
2026-06-01,232151.21,2785814.52,2888
