month,data_team_arr_usd,finance_arr_usd,variance_usd,variance_pct,control_status
2025-01-01,100200.24,100794.72,-594.4799999999959,-0.0059,PASS
2025-02-01,204560.52,205412.92,-852.4000000000233,-0.0041,PASS
2025-03-01,315330.8399999999,316117.2,-786.3600000001024,-0.0025,PASS
2025-04-01,423908.9999999998,427873.29,-3964.2900000001537,-0.0093,PASS
2025-05-01,595111.4399999996,596489.38,-1377.9400000004098,-0.0023,PASS
2025-06-01,720597.7199999995,720878.13,-280.41000000049826,-0.0004,PASS
2025-07-01,803736.1199999992,834503.86,-30767.740000000806,-0.0369,FAIL: exceeds 2% control threshold
2025-08-01,938522.2799999991,932014.05,6508.22999999905,0.007,PASS
2025-09-01,1114650.839999999,1121155.84,-6505.000000001164,-0.0058,PASS
2025-10-01,1263725.3999999987,1260216.61,3508.7899999986403,0.0028,PASS
2025-11-01,1423647.8399999987,1435187.92,-11540.080000001239,-0.008,PASS
2025-12-01,1585814.1599999985,1583569.31,2244.8499999984633,0.0014,PASS
2026-01-01,1788726.5999999992,1779016.41,9710.189999999246,0.0055,PASS
2026-02-01,2008956.8399999999,2026170.25,-17213.41000000015,-0.0085,PASS
2026-03-01,2185785.480000001,2242226.92,-56441.43999999901,-0.0252,FAIL: exceeds 2% control threshold
2026-04-01,2387077.8000000007,2373229.61,13848.190000000875,0.0058,PASS
2026-05-01,2605872.2399999998,2592184.31,13687.929999999702,0.0053,PASS
2026-06-01,2785814.52,2798437.98,-12623.459999999963,-0.0045,PASS
