movement_month,movement_type,mrr_delta
2025-01-01,new,8350.02
2025-02-01,churned,-353.5
2025-02-01,contraction,-1.5
2025-02-01,expansion,45.67
2025-02-01,new,9006.02
2025-03-01,churned,-258.17
2025-03-01,contraction,-448.99
2025-03-01,expansion,1075.66
2025-03-01,new,8862.36
2025-04-01,churned,-1204.01
2025-04-01,contraction,-79.5
2025-04-01,expansion,1074.18
2025-04-01,new,9257.51
2025-05-01,churned,-734.0
2025-05-01,contraction,-356.0
2025-05-01,expansion,1101.5
2025-05-01,new,14255.37
2025-06-01,churned,-956.17
2025-06-01,contraction,-177.5
2025-06-01,expansion,1643.51
2025-06-01,new,9947.35
2025-07-01,churned,-1989.67
2025-07-01,contraction,-1018.33
2025-07-01,expansion,2190.17
2025-07-01,new,7746.03
2025-08-01,churned,-1892.19
2025-08-01,contraction,-812.33
2025-08-01,expansion,2738.18
2025-08-01,new,11198.52
2025-09-01,churned,-1657.0
2025-09-01,contraction,-980.49
2025-09-01,expansion,4794.0
2025-09-01,new,12520.87
2025-10-01,churned,-1606.84
2025-10-01,contraction,-879.33
2025-10-01,expansion,3255.17
2025-10-01,new,11646.38
2025-10-01,reactivation,7.5
2025-11-01,churned,-3090.84
2025-11-01,contraction,-650.16
2025-11-01,expansion,4963.51
2025-11-01,new,12104.36
2025-12-01,churned,-2954.35
2025-12-01,contraction,-1843.82
2025-12-01,expansion,4732.17
2025-12-01,new,13570.86
2025-12-01,reactivation,9.0
2026-01-01,churned,-3625.85
2026-01-01,contraction,-1113.33
2026-01-01,expansion,5989.17
2026-01-01,new,15659.38
2026-02-01,churned,-2371.01
2026-02-01,contraction,-2288.33
2026-02-01,expansion,5343.83
2026-02-01,new,17668.03
2026-03-01,churned,-3549.86
2026-03-01,contraction,-2109.49
2026-03-01,expansion,7358.53
2026-03-01,new,13036.54
2026-04-01,churned,-2865.18
2026-04-01,contraction,-1523.83
2026-04-01,expansion,5691.66
2026-04-01,new,15462.71
2026-04-01,reactivation,9.0
2026-05-01,churned,-4315.02
2026-05-01,contraction,-1388.49
2026-05-01,expansion,8066.0
2026-05-01,new,15870.38
2026-06-01,churned,-4953.51
2026-06-01,contraction,-2199.17
2026-06-01,expansion,9848.33
2026-06-01,new,12290.54
2026-06-01,reactivation,9.0
