cohort_month,cohort_size,starting_mrr,mrr_after_6mo,net_revenue_retention,logo_retention
2025-01-01,94,8350.02,9627.52,1.153,0.9681
2025-02-01,105,9006.02,10055.54,1.1165,0.9619
2025-03-01,107,8968.86,9256.53,1.0321,0.9533
2025-04-01,120,9711.01,11331.18,1.1668,0.9417
2025-05-01,148,14457.71,17508.72,1.211,0.9595
2025-06-01,125,10255.35,11317.85,1.1036,0.92
2025-07-01,126,8208.53,10055.21,1.225,0.9444
2025-08-01,143,11477.69,13594.69,1.1844,0.951
2025-09-01,152,12841.37,14480.88,1.1277,0.9671
2025-10-01,179,11670.55,13176.55,1.129,0.9553
2025-11-01,190,13291.53,15078.37,1.1344,0.9526
2025-12-01,188,14260.36,16088.86,1.1282,0.9628
