charge_id,invoice_id,customer_id,amount,status,created
ch_000001,in_000001,cus_000001,9,succeeded,2025-01-11
ch_000002,in_000002,cus_000002,29,succeeded,2025-01-24
ch_000003,in_000003,cus_000003,29,succeeded,2025-01-05
ch_000004,in_000004,cus_000005,9,succeeded,2025-01-31
ch_000005,in_000005,cus_000006,9,succeeded,2025-01-18
ch_000006,in_000006,cus_000007,9,succeeded,2025-01-26
ch_000007,in_000007,cus_000008,9,succeeded,2025-01-16
ch_000008,in_000008,cus_000009,9,succeeded,2025-01-10
ch_000009,in_000009,cus_000011,99,succeeded,2025-01-09
ch_000010,in_000010,cus_000012,9,succeeded,2025-01-08
ch_000011,in_000011,cus_000014,9,succeeded,2025-01-22
ch_000012,in_000012,cus_000015,9,succeeded,2025-01-17
ch_000013,in_000013,cus_000016,9,succeeded,2025-01-14
ch_000014,in_000014,cus_000017,99,succeeded,2025-01-25
ch_000015,in_000015,cus_000018,299,succeeded,2025-01-21
ch_000016,in_000016,cus_000019,9,succeeded,2025-01-09
ch_000017,in_000017,cus_000020,29,succeeded,2025-01-01
ch_000018,in_000018,cus_000021,29,succeeded,2025-01-30
ch_000019,in_000019,cus_000022,9,succeeded,2025-01-04
ch_000020,in_000020,cus_000023,299,succeeded,2025-01-06
ch_000021,in_000021,cus_000024,9,succeeded,2025-01-05
ch_000022,in_000022,cus_000025,29,succeeded,2025-01-26
ch_000023,in_000023,cus_000027,9,succeeded,2025-01-10
ch_000024,in_000024,cus_000028,9,succeeded,2025-01-04
ch_000025,in_000025,cus_000029,9,succeeded,2025-01-19
ch_000026,in_000026,cus_000032,9,succeeded,2025-01-06
ch_000027,in_000027,cus_000033,29,succeeded,2025-01-01
ch_000028,in_000028,cus_000034,9,succeeded,2025-01-26
ch_000029,in_000029,cus_000035,9,succeeded,2025-01-03
ch_000030,in_000030,cus_000037,9,succeeded,2025-01-30
ch_000031,in_000031,cus_000038,99,succeeded,2025-01-31
ch_000032,in_000032,cus_000039,29,succeeded,2025-01-14
ch_000033,in_000033,cus_000040,9,succeeded,2025-01-23
ch_000034,in_000034,cus_000041,29,succeeded,2025-01-31
ch_000035,in_000035,cus_000042,99,succeeded,2025-01-16
ch_000036,in_000036,cus_000043,290,succeeded,2025-01-12
ch_000037,in_000037,cus_000044,299,succeeded,2025-01-26
ch_000038,in_000038,cus_000045,29,succeeded,2025-01-14
ch_000039,in_000039,cus_000046,299,succeeded,2025-01-12
ch_000040,in_000040,cus_000047,990,succeeded,2025-01-16
ch_000041,in_000041,cus_000048,990,succeeded,2025-01-05
ch_000042,in_000042,cus_000049,299,succeeded,2025-01-25
ch_000043,in_000043,cus_000050,29,succeeded,2025-01-26
ch_000044,in_000044,cus_000051,299,succeeded,2025-01-21
ch_000045,in_000045,cus_000052,90,succeeded,2025-01-14
ch_000046,in_000046,cus_000053,29,succeeded,2025-01-09
ch_000047,in_000047,cus_000058,99,succeeded,2025-01-04
ch_000048,in_000048,cus_000059,9,succeeded,2025-01-08
ch_000049,in_000049,cus_000060,29,succeeded,2025-01-28
ch_000050,in_000050,cus_000062,29,succeeded,2025-01-15
ch_000051,in_000051,cus_000063,9,succeeded,2025-01-11
ch_000052,in_000052,cus_000064,9,succeeded,2025-01-31
ch_000053,in_000053,cus_000065,9,succeeded,2025-01-02
ch_000054,in_000054,cus_000066,29,succeeded,2025-01-13
ch_000055,in_000055,cus_000067,29,succeeded,2025-01-10
ch_000056,in_000056,cus_000068,99,succeeded,2025-01-21
ch_000057,in_000057,cus_000069,9,succeeded,2025-01-17
ch_000058,in_000058,cus_000070,9,succeeded,2025-01-23
ch_000059,in_000059,cus_000071,290,succeeded,2025-01-30
ch_000060,in_000061,cus_000073,9,succeeded,2025-01-16
ch_000061,in_000062,cus_000074,9,succeeded,2025-01-02
