customer_id,created,country,signup_channel
cus_000001,2025-01-07,FR,referral
cus_000002,2025-01-22,FR,paid_search
cus_000003,2025-01-30,CA,content
cus_000004,2025-01-07,DE,content
cus_000005,2025-01-07,US,organic
cus_000006,2025-01-18,DE,paid_search
cus_000007,2025-01-11,GB,content
cus_000008,2025-01-03,AU,content
cus_000009,2025-01-04,DE,referral
cus_000010,2025-01-13,GB,content
cus_000011,2025-01-24,AU,organic
cus_000012,2025-01-07,FR,organic
cus_000013,2025-01-01,DE,referral
cus_000014,2025-01-19,US,organic
cus_000015,2025-01-09,US,paid_search
cus_000016,2025-01-24,DE,partner
cus_000017,2025-01-16,FR,referral
cus_000018,2025-01-06,FR,organic
cus_000019,2025-01-03,US,partner
cus_000020,2025-01-31,IN,organic
cus_000021,2025-01-20,IN,paid_search
cus_000022,2025-01-30,GB,partner
cus_000023,2025-01-29,US,organic
cus_000024,2025-01-29,CA,referral
cus_000025,2025-01-02,FR,partner
cus_000026,2025-01-12,IN,organic
cus_000027,2025-01-22,DE,organic
cus_000028,2025-01-05,CA,content
cus_000029,2025-01-04,FR,referral
cus_000030,2025-01-09,US,organic
cus_000031,2025-01-13,IN,partner
cus_000032,2025-01-11,GB,referral
cus_000033,2025-01-07,FR,partner
cus_000034,2025-01-11,US,paid_search
cus_000035,2025-01-22,DE,content
cus_000036,2025-01-02,GB,partner
cus_000037,2025-01-05,US,paid_search
cus_000038,2025-01-12,US,content
cus_000039,2025-01-07,DE,partner
cus_000040,2025-01-18,GB,paid_search
cus_000041,2025-01-18,DE,referral
cus_000042,2025-01-24,CA,paid_search
cus_000043,2025-01-07,IN,referral
cus_000044,2025-01-08,US,partner
cus_000045,2025-01-24,IN,content
cus_000046,2025-01-09,FR,paid_search
cus_000047,2025-01-25,IN,partner
cus_000048,2025-01-02,US,content
cus_000049,2025-01-22,CA,partner
cus_000050,2025-01-16,US,organic
cus_000051,2025-01-09,US,organic
cus_000052,2025-01-26,IN,referral
cus_000053,2025-01-03,US,content
cus_000054,2025-01-14,US,referral
cus_000055,2025-01-12,GB,partner
cus_000056,2025-01-08,GB,paid_search
cus_000057,2025-01-30,GB,content
cus_000058,2025-01-07,FR,partner
cus_000059,2025-01-04,FR,organic
cus_000060,2025-01-30,FR,paid_search
cus_000061,2025-01-16,US,organic
cus_000062,2025-01-02,IN,partner
cus_000063,2025-01-28,US,referral
cus_000064,2025-01-05,US,organic
cus_000065,2025-01-17,US,organic
cus_000066,2025-01-08,US,content
cus_000067,2025-01-13,US,referral
cus_000068,2025-01-08,CA,content
cus_000069,2025-01-16,GB,paid_search
cus_000070,2025-01-20,US,content
cus_000071,2025-01-30,GB,referral
cus_000072,2025-01-25,GB,referral
cus_000073,2025-01-08,CA,partner
cus_000074,2025-01-25,AU,paid_search
cus_000075,2025-01-27,DE,content
cus_000076,2025-01-09,US,content
cus_000077,2025-01-03,US,organic
cus_000078,2025-01-28,US,content
cus_000079,2025-01-02,GB,organic
cus_000080,2025-01-16,AU,organic
cus_000081,2025-01-06,AU,content
cus_000082,2025-01-27,GB,partner
cus_000083,2025-01-13,US,paid_search
cus_000084,2025-01-16,CA,paid_search
cus_000085,2025-01-28,FR,organic
cus_000086,2025-01-04,US,content
cus_000087,2025-01-21,DE,partner
cus_000088,2025-01-12,IN,paid_search
cus_000089,2025-01-25,IN,organic
cus_000090,2025-01-20,IN,organic
cus_000091,2025-01-02,IN,referral
cus_000092,2025-01-27,AU,paid_search
cus_000093,2025-01-18,GB,partner
cus_000094,2025-01-31,AU,content
cus_000095,2025-01-30,US,referral
cus_000096,2025-01-19,US,organic
cus_000097,2025-01-27,US,partner
cus_000098,2025-01-24,CA,partner
cus_000099,2025-01-29,GB,partner
cus_000100,2025-01-23,US,paid_search
cus_000101,2025-01-18,GB,content
cus_000102,2025-01-05,IN,content
