refund_id,charge_id,amount,reason,created
re_000001,ch_000061,4.5,requested_by_customer,2025-01-02
re_000002,ch_000371,9.0,duplicate,2025-02-19
re_000003,ch_000472,4.5,requested_by_customer,2025-03-24
re_000004,ch_000502,149.5,fraudulent,2025-03-07
re_000005,ch_001036,99.0,duplicate,2025-04-05
re_000006,ch_001091,4.5,fraudulent,2025-04-21
re_000007,ch_001529,45.0,duplicate,2025-05-08
re_000008,ch_001882,14.5,duplicate,2025-05-31
re_000009,ch_001932,45.0,duplicate,2025-05-06
re_000010,ch_001953,14.5,fraudulent,2025-05-30
re_000011,ch_001979,49.5,requested_by_customer,2025-05-25
re_000012,ch_002024,4.5,fraudulent,2025-05-22
re_000013,ch_002204,9.0,duplicate,2025-06-27
re_000014,ch_002249,29.0,duplicate,2025-06-09
re_000015,ch_002300,290.0,duplicate,2025-06-07
re_000016,ch_002389,149.5,fraudulent,2025-06-08
re_000017,ch_002516,99.0,fraudulent,2025-06-15
re_000018,ch_002612,49.5,requested_by_customer,2025-06-06
re_000019,ch_002770,29.0,requested_by_customer,2025-06-10
re_000020,ch_002962,99.0,duplicate,2025-06-27
re_000021,ch_003018,29.0,requested_by_customer,2025-06-15
re_000022,ch_003041,49.5,requested_by_customer,2025-06-07
re_000023,ch_003135,90.0,fraudulent,2025-07-23
re_000024,ch_003198,990.0,fraudulent,2025-07-25
re_000025,ch_003292,9.0,fraudulent,2025-07-31
re_000026,ch_003346,49.5,duplicate,2025-07-13
re_000027,ch_003578,4.5,fraudulent,2025-07-08
re_000028,ch_003639,45.0,duplicate,2025-07-06
re_000029,ch_004248,45.0,duplicate,2025-08-12
re_000030,ch_004537,9.0,fraudulent,2025-08-09
re_000031,ch_004548,14.5,duplicate,2025-08-04
re_000032,ch_004659,145.0,requested_by_customer,2025-08-06
re_000033,ch_004748,29.0,requested_by_customer,2025-08-29
re_000034,ch_004953,14.5,requested_by_customer,2025-08-23
re_000035,ch_005018,990.0,fraudulent,2025-08-20
re_000036,ch_005031,49.5,fraudulent,2025-08-09
re_000037,ch_005222,149.5,requested_by_customer,2025-08-03
re_000038,ch_005324,9.0,duplicate,2025-08-28
re_000039,ch_005531,29.0,requested_by_customer,2025-09-22
re_000040,ch_005747,290.0,duplicate,2025-09-20
re_000041,ch_005869,9.0,duplicate,2025-09-29
re_000042,ch_005914,14.5,requested_by_customer,2025-09-14
re_000043,ch_006053,29.0,fraudulent,2025-09-03
re_000044,ch_006197,99.0,fraudulent,2025-09-26
re_000045,ch_006396,149.5,duplicate,2025-09-10
re_000046,ch_006572,149.5,requested_by_customer,2025-09-14
re_000047,ch_006686,14.5,fraudulent,2025-09-18
re_000048,ch_006780,29.0,duplicate,2025-10-27
re_000049,ch_006829,29.0,requested_by_customer,2025-10-28
re_000050,ch_007077,4.5,requested_by_customer,2025-10-18
re_000051,ch_007128,149.5,requested_by_customer,2025-10-01
re_000052,ch_007445,29.0,requested_by_customer,2025-10-30
re_000053,ch_007672,4.5,duplicate,2025-10-30
re_000054,ch_007685,29.0,duplicate,2025-10-06
re_000055,ch_007725,14.5,duplicate,2025-10-21
re_000056,ch_007741,9.0,fraudulent,2025-10-05
re_000057,ch_007991,49.5,requested_by_customer,2025-10-14
re_000058,ch_008336,4.5,duplicate,2025-11-29
re_000059,ch_008509,45.0,requested_by_customer,2025-11-26
re_000060,ch_008589,149.5,requested_by_customer,2025-11-12
re_000061,ch_009023,29.0,duplicate,2025-11-06
re_000062,ch_009126,299.0,requested_by_customer,2025-11-26
re_000063,ch_009196,29.0,duplicate,2025-11-06
re_000064,ch_009233,299.0,requested_by_customer,2025-11-08
re_000065,ch_009279,299.0,fraudulent,2025-11-20
re_000066,ch_009337,9.0,duplicate,2025-11-05
re_000067,ch_009842,45.0,requested_by_customer,2025-11-06
re_000068,ch_010074,145.0,requested_by_customer,2025-12-27
re_000069,ch_010297,9.0,requested_by_customer,2025-12-17
re_000070,ch_010350,4.5,fraudulent,2025-12-02
re_000071,ch_010434,4.5,duplicate,2025-12-03
re_000072,ch_010460,29.0,fraudulent,2025-12-22
re_000073,ch_010783,495.0,requested_by_customer,2025-12-28
re_000074,ch_010844,145.0,requested_by_customer,2025-12-23
re_000075,ch_011021,9.0,fraudulent,2025-12-13
re_000076,ch_011092,4.5,requested_by_customer,2025-12-11
re_000077,ch_011106,9.0,duplicate,2025-12-12
re_000078,ch_011111,49.5,fraudulent,2025-12-06
re_000079,ch_011403,29.0,requested_by_customer,2025-12-22
re_000080,ch_011842,299.0,requested_by_customer,2025-12-17
re_000081,ch_011958,49.5,fraudulent,2026-01-26
re_000082,ch_012257,90.0,requested_by_customer,2026-01-17
re_000083,ch_012467,14.5,requested_by_customer,2026-01-03
re_000084,ch_012506,29.0,duplicate,2026-01-18
re_000085,ch_012537,29.0,requested_by_customer,2026-01-31
re_000086,ch_012599,45.0,duplicate,2026-01-07
re_000087,ch_012830,9.0,duplicate,2026-01-03
re_000088,ch_012939,90.0,fraudulent,2026-01-14
re_000089,ch_013016,149.5,duplicate,2026-01-15
re_000090,ch_013026,4.5,fraudulent,2026-01-07
re_000091,ch_013106,14.5,fraudulent,2026-01-03
re_000092,ch_013127,9.0,fraudulent,2026-01-27
re_000093,ch_013142,29.0,fraudulent,2026-01-16
re_000094,ch_013289,14.5,duplicate,2026-01-08
re_000095,ch_013293,4.5,requested_by_customer,2026-01-31
re_000096,ch_013493,45.0,fraudulent,2026-01-28
re_000097,ch_013634,49.5,requested_by_customer,2026-01-22
re_000098,ch_013742,495.0,requested_by_customer,2026-01-21
re_000099,ch_013958,99.0,fraudulent,2026-02-21
re_000100,ch_014184,290.0,requested_by_customer,2026-02-21
re_000101,ch_014190,49.5,duplicate,2026-02-15
re_000102,ch_014427,9.0,fraudulent,2026-02-26
re_000103,ch_014469,9.0,requested_by_customer,2026-02-23
re_000104,ch_014473,299.0,fraudulent,2026-02-15
re_000105,ch_014560,299.0,requested_by_customer,2026-02-09
re_000106,ch_014608,9.0,fraudulent,2026-02-18
re_000107,ch_014647,29.0,fraudulent,2026-02-28
re_000108,ch_014741,145.0,requested_by_customer,2026-02-20
re_000109,ch_014766,290.0,duplicate,2026-02-18
re_000110,ch_014769,14.5,duplicate,2026-02-03
re_000111,ch_014998,29.0,requested_by_customer,2026-02-03
re_000112,ch_015398,14.5,fraudulent,2026-02-06
re_000113,ch_015545,9.0,requested_by_customer,2026-02-23
re_000114,ch_015664,45.0,duplicate,2026-02-06
re_000115,ch_015950,4.5,duplicate,2026-02-25
re_000116,ch_016112,299.0,fraudulent,2026-02-25
re_000117,ch_016485,4.5,duplicate,2026-03-31
re_000118,ch_016518,9.0,duplicate,2026-03-28
re_000119,ch_016571,9.0,duplicate,2026-03-03
re_000120,ch_016700,99.0,duplicate,2026-03-13
re_000121,ch_016721,14.5,duplicate,2026-03-16
re_000122,ch_016727,299.0,requested_by_customer,2026-03-07
re_000123,ch_016782,9.0,duplicate,2026-03-17
re_000124,ch_016992,495.0,duplicate,2026-03-31
re_000125,ch_016993,9.0,fraudulent,2026-03-15
re_000126,ch_017101,149.5,fraudulent,2026-03-07
re_000127,ch_017156,4.5,requested_by_customer,2026-03-25
re_000128,ch_017181,29.0,fraudulent,2026-03-13
re_000129,ch_017258,29.0,duplicate,2026-03-09
re_000130,ch_017316,9.0,duplicate,2026-03-19
re_000131,ch_017519,495.0,requested_by_customer,2026-03-26
re_000132,ch_017635,45.0,fraudulent,2026-03-06
re_000133,ch_017783,49.5,duplicate,2026-03-15
re_000134,ch_017843,149.5,duplicate,2026-03-04
re_000135,ch_017849,14.5,fraudulent,2026-03-05
re_000136,ch_017924,299.0,duplicate,2026-03-22
re_000137,ch_018033,9.0,requested_by_customer,2026-03-15
re_000138,ch_018061,9.0,duplicate,2026-03-19
re_000139,ch_018133,149.5,duplicate,2026-03-11
re_000140,ch_018316,149.5,duplicate,2026-03-15
re_000141,ch_018320,4.5,fraudulent,2026-03-27
re_000142,ch_018398,4.5,fraudulent,2026-03-17
re_000143,ch_018420,14.5,fraudulent,2026-03-08
re_000144,ch_018473,990.0,fraudulent,2026-03-12
re_000145,ch_018629,99.0,fraudulent,2026-04-20
re_000146,ch_018675,29.0,duplicate,2026-04-02
re_000147,ch_018711,290.0,duplicate,2026-04-05
re_000148,ch_018757,145.0,requested_by_customer,2026-04-19
